Número do Aluno,Sala,Data,Hora,IP
107279,AA3.28,06/08/2024,10:33:00,192.168.131.234
109759,Auditório 1,06/12/2024,13:57:00,192.168.67.239
104332,C2.02,05/06/2025,12:55:00,192.168.57.66
102997,B2.01,11/04/2025,10:33:00,192.168.86.141
104344,D1.02,13/03/2025,18:34:00,192.168.155.38
107212,0S02,18/10/2024,10:33:00,192.168.134.85
102158,D1.01,28/02/2025,15:57:00,192.168.206.54
109843,0S02,26/05/2025,13:57:00,192.168.176.116
102986,C2.01,24/06/2025,09:47:00,192.168.47.92
108884,D1.02,19/11/2024,17:50:00,192.168.35.188
103022,Auditório 4,22/04/2025,17:50:00,192.168.212.149
103774,AA3.28,06/08/2024,19:50:00,192.168.129.17
101380,B2.01,12/05/2025,17:50:00,192.168.110.128
102685,D1.02,30/10/2024,10:33:00,192.168.26.78
106070,B2.01,11/12/2024,14:43:00,192.168.71.154
109038,Auditório 1,01/05/2025,16:16:00,192.168.244.90
103618,AA3.28,11/11/2024,12:55:00,192.168.112.170
106720,C2.02,15/07/2024,20:57:00,192.168.152.144
106787,C2.01,21/04/2025,11:14:00,192.168.85.123
106425,0S02,11/03/2025,19:50:00,192.168.87.198
106127,0S01,28/04/2025,15:57:00,192.168.34.1
102016,D1.02,21/03/2025,10:33:00,192.168.219.3
102378,Auditório 1,11/07/2024,20:57:00,192.168.221.233
104715,D1.02,11/02/2025,20:57:00,192.168.123.193
106324,0S02,31/10/2024,10:33:00,192.168.223.88
101404,AA3.28,19/06/2025,18:34:00,192.168.171.168
101809,AA3.26,16/06/2025,08:19:00,192.168.247.149
101827,C2.01,10/06/2025,17:50:00,192.168.230.46
101707,0S02,22/10/2024,14:43:00,192.168.199.30
108569,Auditório 1,12/11/2024,10:33:00,192.168.165.162
102682,B2.01,09/09/2024,19:50:00,192.168.197.69
108670,Auditório 4,31/10/2024,09:47:00,192.168.124.148
103188,D1.01,23/10/2024,10:33:00,192.168.123.213
109953,0S02,18/11/2024,15:57:00,192.168.185.35
108190,Auditório 1,24/07/2024,11:14:00,192.168.32.183
108264,B2.01,06/12/2024,10:33:00,192.168.159.55
107389,0S02,05/02/2025,16:16:00,192.168.201.247
100876,AA3.26,09/07/2024,13:57:00,192.168.148.165
107657,B2.01,10/07/2024,08:19:00,192.168.130.127
107011,C2.02,26/09/2024,16:16:00,192.168.35.53
106684,C2.02,21/11/2024,10:33:00,192.168.72.234
104049,Auditório 1,19/07/2024,08:19:00,192.168.239.222
101556,0S02,30/04/2025,15:57:00,192.168.115.18
103784,B2.02,09/08/2024,20:57:00,192.168.9.213
102385,AA3.28,27/06/2025,18:34:00,192.168.168.183
103718,0S02,18/06/2025,19:50:00,192.168.36.116
109648,B2.01,30/07/2024,11:14:00,192.168.1.30
108917,B2.01,22/05/2025,17:50:00,192.168.44.2
101726,0S02,25/11/2024,08:19:00,192.168.108.12
108788,D1.02,14/11/2024,20:57:00,192.168.168.215
106127,0S02,02/10/2024,16:16:00,192.168.34.1
100463,B2.01,17/10/2024,16:16:00,192.168.40.63
107558,Auditório 1,18/11/2024,16:16:00,192.168.147.241
105886,0S01,14/05/2025,16:16:00,192.168.25.232
103522,0S02,25/10/2024,17:50:00,192.168.162.146
100256,AA3.26,07/08/2024,17:50:00,192.168.4.211
102682,AA3.26,08/04/2025,12:55:00,192.168.197.69
102158,0S01,16/05/2025,15:57:00,192.168.206.54
105629,Auditório 1,24/07/2024,11:14:00,192.168.116.237
103475,C2.02,06/12/2024,13:57:00,192.168.61.172
104827,Auditório 1,13/11/2024,18:34:00,192.168.98.236
106491,Auditório 1,12/07/2024,20:57:00,192.168.99.15
100642,Auditório 1,05/12/2024,10:33:00,192.168.189.196
100319,C2.02,07/05/2025,09:47:00,192.168.76.193
109294,AA3.26,06/02/2025,16:16:00,192.168.12.3
107398,Auditório 4,16/05/2025,15:57:00,192.168.101.77
106409,Auditório 4,08/05/2025,20:57:00,192.168.109.147
101283,Auditório 1,12/03/2025,15:57:00,192.168.174.164
101710,0S01,19/03/2025,12:55:00,192.168.75.241
106203,Auditório 1,20/11/2024,19:50:00,192.168.150.53
106324,C2.01,13/11/2024,17:50:00,192.168.223.88
109171,B2.01,09/10/2024,14:43:00,192.168.241.178
108304,Auditório 1,12/05/2025,13:57:00,192.168.89.247
106900,0S01,04/06/2025,16:16:00,192.168.29.190
101381,D1.02,22/11/2024,13:57:00,192.168.236.18
102723,0S01,04/02/2025,08:19:00,192.168.192.144
102106,B2.01,16/08/2024,16:16:00,192.168.3.120
101808,0S02,05/02/2025,15:57:00,192.168.158.68
106900,D1.01,14/03/2025,14:43:00,192.168.29.190
108500,C2.02,01/04/2025,18:34:00,192.168.178.97
105678,AA3.28,16/09/2024,16:16:00,192.168.252.159
101707,C2.02,16/10/2024,10:33:00,192.168.199.30
109702,B2.01,22/04/2025,15:57:00,192.168.23.135
107524,C2.01,27/09/2024,17:50:00,192.168.74.251
100642,0S02,09/09/2024,11:14:00,192.168.189.196
104000,C2.01,28/03/2025,13:57:00,192.168.217.239
109317,D1.02,25/06/2025,14:43:00,192.168.228.167
109116,B2.02,13/03/2025,17:50:00,192.168.244.44
104287,Auditório 1,17/10/2024,15:57:00,192.168.94.241
103941,0S01,09/10/2024,14:43:00,192.168.74.176
109957,C2.01,13/02/2025,08:19:00,192.168.188.39
101082,B2.02,24/10/2024,10:33:00,192.168.19.15
107343,B2.02,26/09/2024,16:16:00,192.168.153.99
103182,B2.02,26/07/2024,16:16:00,192.168.77.194
101294,B2.01,30/07/2024,10:33:00,192.168.32.84
109603,B2.02,14/03/2025,18:34:00,192.168.82.91
107138,C2.01,27/06/2025,11:14:00,192.168.5.215
106409,0S01,13/02/2025,14:43:00,192.168.109.147
108160,Auditório 4,03/10/2024,12:55:00,192.168.254.50
101570,C2.01,22/07/2024,18:34:00,192.168.241.240
102644,B2.01,28/02/2025,14:43:00,192.168.241.125
109038,C2.01,04/07/2024,10:33:00,192.168.244.90
105886,D1.01,04/11/2024,18:34:00,192.168.25.232
106780,B2.01,18/09/2024,19:50:00,192.168.193.174
101827,AA3.28,24/02/2025,16:16:00,192.168.230.46
102629,B2.02,27/06/2025,12:55:00,192.168.41.146
102609,B2.02,04/10/2024,14:43:00,192.168.170.112
100107,AA3.26,04/06/2025,13:57:00,192.168.157.139
101767,C2.02,24/09/2024,16:16:00,192.168.43.166
108209,B2.02,23/07/2024,10:33:00,192.168.100.103
100256,D1.01,10/12/2024,16:16:00,192.168.4.211
109967,AA3.26,05/03/2025,18:34:00,192.168.135.42
107011,0S01,18/02/2025,16:16:00,192.168.35.53
108220,D1.01,18/06/2025,10:33:00,192.168.205.134
107751,Auditório 1,07/08/2024,10:33:00,192.168.152.90
102913,0S01,01/11/2024,11:14:00,192.168.45.120
109466,B2.02,11/06/2025,17:50:00,192.168.132.54
103182,AA3.26,12/02/2025,20:57:00,192.168.22.233
100897,C2.02,02/06/2025,19:50:00,192.168.158.206
102806,AA3.26,31/10/2024,17:50:00,192.168.135.166
100112,B2.01,26/03/2025,16:16:00,192.168.109.16
103605,C2.01,30/05/2025,13:57:00,192.168.208.53
102894,C2.02,05/02/2025,09:47:00,192.168.120.7
101890,AA3.26,16/08/2024,08:19:00,192.168.25.55
103517,0S01,22/11/2024,20:57:00,192.168.122.10
100271,B2.02,13/11/2024,17:50:00,192.168.170.178
108075,C2.02,13/11/2024,20:57:00,192.168.215.22
104154,0S01,02/08/2024,16:16:00,192.168.224.191
106760,B2.02,09/08/2024,17:50:00,192.168.187.166
107301,D1.01,03/04/2025,12:55:00,192.168.97.231
107524,C2.02,06/06/2025,14:43:00,192.168.74.251
105977,AA3.28,09/12/2024,09:47:00,192.168.129.230
106705,C2.01,11/04/2025,19:50:00,192.168.149.242
104874,AA3.28,03/04/2025,18:34:00,192.168.157.119
101111,D1.02,01/07/2025,19:50:00,192.168.42.108
100861,0S01,28/02/2025,16:16:00,192.168.59.72
107018,AA3.26,12/03/2025,08:19:00,192.168.53.196
104426,AA3.28,11/12/2024,15:57:00,192.168.147.142
109170,0S02,14/05/2025,13:57:00,192.168.149.104
107059,AA3.28,26/07/2024,19:50:00,192.168.60.238
102700,C2.02,06/09/2024,19:50:00,192.168.30.45
104667,AA3.28,06/08/2024,19:50:00,192.168.248.82
103740,Auditório 4,24/03/2025,08:19:00,192.168.170.104
107138,C2.02,29/05/2025,09:47:00,192.168.5.215
100135,0S01,10/06/2025,10:33:00,192.168.67.175
102677,0S02,17/03/2025,14:43:00,192.168.75.254
103914,B2.02,17/09/2024,13:57:00,192.168.187.40
106738,Auditório 1,02/04/2025,13:57:00,192.168.5.57
104500,C2.01,15/11/2024,14:43:00,192.168.229.235
104827,Auditório 4,03/07/2024,09:47:00,192.168.98.236
103934,0S01,29/07/2024,15:57:00,192.168.221.104
104332,B2.02,01/07/2025,12:55:00,192.168.57.66
107212,Auditório 1,02/05/2025,18:34:00,192.168.134.85
104381,0S01,10/02/2025,08:19:00,192.168.13.171
104154,Auditório 1,21/05/2025,11:14:00,192.168.224.191
105939,B2.01,11/07/2024,14:43:00,192.168.158.118
101124,Auditório 1,28/04/2025,14:43:00,192.168.112.101
100557,D1.01,03/03/2025,15:57:00,192.168.212.195
102457,D1.01,02/10/2024,09:47:00,192.168.97.43
108754,C2.01,13/09/2024,16:16:00,192.168.71.251
106492,D1.02,31/10/2024,18:34:00,192.168.167.243
100443,B2.02,22/05/2025,08:19:00,192.168.57.26
102203,B2.01,16/04/2025,08:19:00,192.168.203.157
109170,C2.02,22/05/2025,09:47:00,192.168.149.104
102601,Auditório 4,07/10/2024,15:57:00,192.168.63.199
105678,D1.01,31/10/2024,08:19:00,192.168.252.159
105636,Auditório 4,21/05/2025,13:57:00,192.168.77.238
103022,AA3.26,08/10/2024,15:57:00,192.168.212.149
109294,C2.02,07/03/2025,13:57:00,192.168.12.3
105869,Auditório 4,15/11/2024,15:57:00,192.168.30.190
105104,D1.02,20/05/2025,09:47:00,192.168.33.131
102197,AA3.26,25/11/2024,17:50:00,192.168.93.248
105678,0S02,07/05/2025,16:16:00,192.168.252.159
101388,C2.01,06/08/2024,16:16:00,192.168.165.63
102980,AA3.26,27/11/2024,14:43:00,192.168.93.90
103475,C2.01,25/04/2025,17:50:00,192.168.61.172
100952,0S02,18/11/2024,17:50:00,192.168.40.57
101707,D1.01,20/09/2024,10:33:00,192.168.199.30
100545,0S01,12/11/2024,17:50:00,192.168.12.49
105383,AA3.28,13/06/2025,14:43:00,192.168.176.136
105795,B2.02,02/07/2024,09:47:00,192.168.105.82
107088,AA3.26,05/03/2025,20:57:00,192.168.81.226
105370,B2.02,09/10/2024,13:57:00,192.168.188.186
104191,D1.01,28/02/2025,16:16:00,192.168.102.245
108292,C2.01,20/06/2025,16:16:00,192.168.121.228
101810,AA3.28,30/06/2025,15:57:00,192.168.56.96
109648,D1.01,07/04/2025,12:55:00,192.168.1.30
108302,D1.01,24/07/2024,14:43:00,192.168.94.230
108884,0S01,28/02/2025,15:57:00,192.168.105.6
104130,AA3.28,09/05/2025,18:34:00,192.168.252.230
104049,AA3.26,28/08/2024,16:16:00,192.168.239.222
104056,0S02,24/07/2024,15:57:00,192.168.190.26
105967,0S02,29/07/2024,18:34:00,192.168.152.11
100861,Auditório 1,03/02/2025,12:55:00,192.168.59.72
108659,Auditório 4,27/09/2024,14:43:00,192.168.129.244
103914,C2.01,31/10/2024,12:55:00,192.168.187.40
102678,B2.01,20/11/2024,09:47:00,192.168.71.239
101082,B2.01,11/02/2025,11:14:00,192.168.19.15
109225,Auditório 4,29/08/2024,12:55:00,192.168.93.188
102678,D1.02,22/07/2024,12:55:00,192.168.71.239
105081,C2.02,09/07/2024,13:57:00,192.168.67.164
101490,0S01,02/07/2025,14:43:00,192.168.179.9
108346,AA3.28,23/07/2024,19:50:00,192.168.86.158
109300,Auditório 1,03/04/2025,13:57:00,192.168.73.201
107301,C2.02,16/05/2025,11:14:00,192.168.97.231
108817,AA3.28,05/08/2024,09:47:00,192.168.41.173
108407,AA3.26,15/11/2024,18:34:00,192.168.52.48
100599,D1.01,06/02/2025,09:47:00,192.168.192.176
103328,0S01,28/05/2025,18:34:00,192.168.213.74
101082,AA3.26,24/02/2025,20:57:00,192.168.19.15
100952,C2.02,30/09/2024,11:14:00,192.168.34.174
104557,D1.02,12/02/2025,15:57:00,192.168.240.232
107088,D1.02,24/10/2024,15:57:00,192.168.81.226
104827,0S01,18/10/2024,12:55:00,192.168.98.236
100545,B2.02,21/10/2024,14:43:00,192.168.12.49
104052,D1.01,08/08/2024,18:34:00,192.168.119.233
103766,B2.02,25/07/2024,10:33:00,192.168.41.80
104905,AA3.28,25/03/2025,15:57:00,192.168.198.34
103951,Auditório 4,26/08/2024,15:57:00,192.168.189.76
103411,AA3.26,13/09/2024,13:57:00,192.168.6.225
100545,D1.02,28/03/2025,20:57:00,192.168.12.49
103422,0S02,04/03/2025,09:47:00,192.168.124.36
102913,0S01,14/11/2024,18:34:00,192.168.45.120
108418,B2.02,12/12/2024,10:33:00,192.168.103.144
102197,Auditório 4,07/03/2025,09:47:00,192.168.93.248
100386,Auditório 4,27/11/2024,17:50:00,192.168.107.206
107355,D1.01,20/08/2024,14:43:00,192.168.91.78
106388,Auditório 4,22/08/2024,14:43:00,192.168.60.156
109640,D1.01,10/09/2024,13:57:00,192.168.245.19
100256,0S02,17/06/2025,19:50:00,192.168.4.211
109401,AA3.26,05/09/2024,14:43:00,192.168.104.239
109699,0S02,02/12/2024,14:43:00,192.168.125.250
101604,0S02,15/08/2024,08:19:00,192.168.101.137
109038,AA3.28,24/09/2024,19:50:00,192.168.244.90
104500,0S01,25/11/2024,15:57:00,192.168.229.235
109603,AA3.26,05/11/2024,19:50:00,192.168.82.91
109171,D1.02,30/09/2024,10:33:00,192.168.241.178
100798,Auditório 4,19/05/2025,15:57:00,192.168.139.229
105629,AA3.26,06/05/2025,19:50:00,192.168.116.237
103766,Auditório 4,26/08/2024,12:55:00,192.168.41.80
107558,0S01,02/09/2024,12:55:00,192.168.147.241
100360,C2.02,30/06/2025,13:57:00,192.168.132.108
100300,Auditório 4,28/04/2025,15:57:00,192.168.216.167
100798,AA3.26,27/02/2025,11:14:00,192.168.139.229
107524,0S01,29/04/2025,14:43:00,192.168.74.251
104500,C2.02,05/11/2024,15:57:00,192.168.229.235
100360,Auditório 4,22/10/2024,08:19:00,192.168.132.108
105683,Auditório 1,18/07/2024,10:33:00,192.168.229.175
102568,AA3.28,07/11/2024,13:57:00,192.168.33.142
101294,B2.01,24/07/2024,19:50:00,192.168.32.84
106720,Auditório 1,24/06/2025,12:55:00,192.168.152.144
102694,0S01,22/10/2024,09:47:00,192.168.161.215
102601,AA3.26,23/10/2024,19:50:00,192.168.63.199
107714,D1.02,23/04/2025,16:16:00,192.168.248.179
100599,D1.02,26/11/2024,19:50:00,192.168.192.176
104332,B2.01,30/05/2025,10:33:00,192.168.57.66
104828,D1.02,10/07/2024,14:43:00,192.168.183.73
107524,Auditório 4,13/12/2024,15:57:00,192.168.74.251
103766,D1.01,17/07/2024,14:43:00,192.168.41.80
105463,Auditório 1,13/06/2025,12:55:00,192.168.114.198
106181,0S01,20/02/2025,14:43:00,192.168.221.231
102141,Auditório 1,07/05/2025,16:16:00,192.168.57.22
101756,C2.02,01/11/2024,18:34:00,192.168.101.93
104287,B2.01,24/09/2024,15:57:00,192.168.94.241
106780,C2.02,07/04/2025,08:19:00,192.168.193.174
101710,C2.02,21/11/2024,20:57:00,192.168.75.241
107099,Auditório 1,13/08/2024,09:47:00,192.168.20.60
107756,C2.01,04/11/2024,18:34:00,192.168.214.127
100531,0S01,13/08/2024,13:57:00,192.168.216.171
107261,AA3.26,09/09/2024,09:47:00,192.168.87.59
109038,D1.02,06/11/2024,18:34:00,192.168.244.90
109295,Auditório 4,16/06/2025,13:57:00,192.168.198.69
102197,B2.02,25/11/2024,18:34:00,192.168.93.248
102102,D1.02,05/02/2025,10:33:00,192.168.227.88
101610,C2.01,15/04/2025,13:57:00,192.168.49.106
108174,Auditório 1,07/02/2025,14:43:00,192.168.83.213
107756,D1.01,29/08/2024,08:19:00,192.168.214.127
103800,D1.01,19/02/2025,12:55:00,192.168.172.114
100652,B2.02,04/06/2025,14:43:00,192.168.165.74
106364,B2.02,31/07/2024,11:14:00,192.168.136.168
109170,0S01,31/03/2025,19:50:00,192.168.149.104
107865,D1.02,21/03/2025,16:16:00,192.168.238.128
100876,C2.01,03/12/2024,10:33:00,192.168.114.24
106705,Auditório 4,02/09/2024,20:57:00,192.168.149.242
109300,0S02,28/08/2024,09:47:00,192.168.73.201
100876,B2.01,25/10/2024,19:50:00,192.168.148.165
100853,B2.02,29/08/2024,13:57:00,192.168.142.146
107673,C2.02,10/04/2025,20:57:00,192.168.206.118
101381,C2.02,26/02/2025,15:57:00,192.168.236.18
108407,B2.01,01/08/2024,14:43:00,192.168.52.48
108596,AA3.26,16/10/2024,18:34:00,192.168.55.52
104632,0S02,06/08/2024,17:50:00,192.168.178.130
101564,D1.02,12/02/2025,09:47:00,192.168.238.68
105131,D1.01,29/08/2024,11:14:00,192.168.160.224
106023,Auditório 1,14/02/2025,13:57:00,192.168.44.225
100952,0S02,16/10/2024,12:55:00,192.168.209.243
102473,AA3.26,24/10/2024,18:34:00,192.168.74.168
100463,C2.01,29/11/2024,08:19:00,192.168.40.63
100733,AA3.28,17/06/2025,14:43:00,192.168.180.137
100936,0S02,11/10/2024,14:43:00,192.168.227.64
100828,0S02,17/03/2025,14:43:00,192.168.149.109
104994,0S01,28/03/2025,14:43:00,192.168.142.190
101611,0S01,29/11/2024,10:33:00,192.168.23.242
108168,D1.02,24/04/2025,13:57:00,192.168.68.92
108754,AA3.26,23/08/2024,10:33:00,192.168.71.251
109477,Auditório 1,06/12/2024,15:57:00,192.168.154.129
101658,Auditório 1,24/10/2024,20:57:00,192.168.121.94
101124,0S01,10/12/2024,09:47:00,192.168.112.101
100513,AA3.26,01/10/2024,11:14:00,192.168.125.62
108910,C2.02,31/03/2025,09:47:00,192.168.203.34
102197,Auditório 1,19/09/2024,10:33:00,192.168.93.248
100503,0S02,14/10/2024,08:19:00,192.168.37.55
101412,D1.01,15/10/2024,11:14:00,192.168.49.124
102625,AA3.28,06/11/2024,19:50:00,192.168.138.162
103774,D1.02,21/03/2025,09:47:00,192.168.129.17
100613,Auditório 4,27/11/2024,20:57:00,192.168.226.3
106433,AA3.28,17/04/2025,11:14:00,192.168.205.18
107805,D1.01,07/10/2024,09:47:00,192.168.104.86
105067,AA3.28,11/04/2025,15:57:00,192.168.92.9
101681,C2.01,14/02/2025,11:14:00,192.168.66.145
101902,D1.01,03/04/2025,20:57:00,192.168.10.196
