Número do Aluno,Sala,Data e Hora,IP
108014,AA3.26,03/07/2024 17:50:00,192.168.1.123
108014,0S02,04/07/2024 10:33:00,192.168.1.123
108014,Auditório 4,15/07/2024 18:34:00,192.168.1.123
108014,Auditório 1,19/07/2024 19:50:00,192.168.1.123
108014,D1.01,23/07/2024 13:57:00,192.168.1.123
108014,C2.02,23/07/2024 20:57:00,192.168.1.123
108014,D1.02,24/07/2024 14:43:00,192.168.1.123
108014,0S01,25/07/2024 10:33:00,192.168.1.123
108014,C2.01,29/07/2024 18:34:00,192.168.1.123
108014,AA3.28,30/07/2024 10:33:00,192.168.1.123
108014,D1.02,02/08/2024 13:57:00,192.168.1.123
108014,D1.01,07/08/2024 10:33:00,192.168.1.123
108014,Auditório 1,15/08/2024 13:57:00,192.168.1.123
108014,C2.01,15/08/2024 18:34:00,192.168.1.123
108014,C2.01,16/08/2024 12:55:00,192.168.1.123
108014,Auditório 1,16/08/2024 20:57:00,192.168.1.123
108014,AA3.26,20/08/2024 20:57:00,192.168.1.123
108014,AA3.26,21/08/2024 13:57:00,192.168.1.123
108014,0S01,22/08/2024 11:14:00,192.168.1.123
108014,AA3.26,23/08/2024 18:34:00,192.168.1.123
108014,0S01,26/08/2024 09:47:00,192.168.1.123
108014,Auditório 1,26/08/2024 20:57:00,192.168.1.123
108014,0S01,30/08/2024 12:55:00,192.168.1.123
108014,Auditório 4,02/09/2024 20:57:00,192.168.1.123
108014,Auditório 1,03/09/2024 19:50:00,192.168.1.123
108014,0S01,23/09/2024 20:57:00,192.168.1.123
108014,C2.01,25/09/2024 18:34:00,192.168.1.123
108014,C2.01,08/10/2024 18:34:00,192.168.1.123
108014,C2.01,10/10/2024 13:57:00,192.168.1.123
108014,Auditório 4,17/10/2024 10:33:00,192.168.1.123
108014,B2.02,24/10/2024 14:43:00,192.168.1.123
108014,Auditório 4,25/10/2024 13:57:00,192.168.1.123
108014,D1.01,28/10/2024 14:43:00,192.168.1.123
108014,B2.01,29/10/2024 14:43:00,192.168.1.123
108014,Auditório 1,05/11/2024 11:14:00,192.168.1.123
108014,Auditório 1,05/11/2024 19:50:00,192.168.1.123
108014,0S01,06/11/2024 15:57:00,192.168.1.123
108014,D1.01,08/11/2024 14:43:00,192.168.1.123
108014,B2.02,11/11/2024 12:55:00,192.168.1.123
108014,0S02,13/11/2024 09:47:00,192.168.1.123
108014,B2.01,13/11/2024 15:57:00,192.168.1.123
108014,D1.01,13/11/2024 20:57:00,192.168.1.123
108014,C2.02,03/12/2024 11:14:00,192.168.1.123
108014,0S01,11/12/2024 10:33:00,192.168.1.123
108014,Auditório 4,03/02/2025 17:50:00,192.168.1.123
108014,AA3.28,10/02/2025 14:43:00,192.168.1.123
108014,B2.02,10/02/2025 18:34:00,192.168.1.123
108014,Auditório 1,11/02/2025 10:33:00,192.168.1.123
108014,C2.02,13/02/2025 11:14:00,192.168.1.123
108014,D1.02,14/02/2025 20:57:00,192.168.1.123
108014,0S02,24/02/2025 14:43:00,192.168.1.123
108014,AA3.28,28/02/2025 18:34:00,192.168.1.123
108014,D1.01,04/03/2025 09:47:00,192.168.1.123
108014,C2.01,05/03/2025 18:34:00,192.168.1.123
108014,Auditório 1,07/03/2025 09:47:00,192.168.1.123
108014,C2.01,13/03/2025 09:47:00,192.168.1.123
108014,AA3.26,17/03/2025 09:47:00,192.168.1.123
108014,D1.02,19/03/2025 09:47:00,192.168.1.123
108014,D1.02,19/03/2025 17:50:00,192.168.1.123
108014,Auditório 4,20/03/2025 12:55:00,192.168.1.123
108014,D1.02,20/03/2025 14:43:00,192.168.1.123
108014,B2.01,21/03/2025 11:14:00,192.168.1.123
108014,0S02,27/03/2025 11:14:00,192.168.1.123
108014,C2.02,01/04/2025 10:33:00,192.168.1.123
